FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1584662400000,2020-03-20,0,994212,0,0,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1584748800000,2020-03-21,1,994212,0,0,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1584835200000,2020-03-22,2,994212,0,0,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1584921600000,2020-03-23,3,994212,0,1,1,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585008000000,2020-03-24,4,994212,0,48,1,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585094400000,2020-03-25,5,994212,0,76,1,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585180800000,2020-03-26,6,994212,0,82,1,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585267200000,2020-03-27,7,994212,0,107,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585353600000,2020-03-28,8,994212,0,121,0,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1584662400000,2020-03-20,0,1617814,0,0,0,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1584748800000,2020-03-21,1,1617814,0,0,0,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1584835200000,2020-03-22,2,1617814,0,0,0,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1584921600000,2020-03-23,3,1617814,0,38,0,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1584662400000,2020-03-20,0,1163789,0,0,0,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1584748800000,2020-03-21,1,1163789,0,0,0,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1584835200000,2020-03-22,2,1163789,0,0,0,0,0,0,0,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1584921600000,2020-03-23,3,1163789,0,53,1,1,0,0,0,1
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585440000000,2020-03-29,9,994212,0,142,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585526400000,2020-03-30,10,994212,0,176,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585612800000,2020-03-31,11,994212,0,190,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585699200000,2020-04-01,12,994212,0,225,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585785600000,2020-04-02,13,994212,0,244,0,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1585008000000,2020-03-24,4,1617814,0,59,1,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1585094400000,2020-03-25,5,1617814,0,73,1,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1585180800000,2020-03-26,6,1617814,0,96,1,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585008000000,2020-03-24,4,1163789,0,72,1,1,0,0,0,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585094400000,2020-03-25,5,1163789,0,98,2,1,0,0,0,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585180800000,2020-03-26,6,1163789,0,119,2,1,0,0,0,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585267200000,2020-03-27,7,1163789,0,154,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585353600000,2020-03-28,8,1163789,0,210,2,0,0,0,1,1
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585872000000,2020-04-03,14,994212,0,270,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1585958400000,2020-04-04,15,994212,3,259,0,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586044800000,2020-04-05,16,994212,8,279,2,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586131200000,2020-04-06,17,994212,8,285,2,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586217600000,2020-04-07,18,994212,3,277,2,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586304000000,2020-04-08,19,994212,8,298,2,0,0,0,0,0
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586390400000,2020-04-09,20,994212,8,305,1,1,1,0,0,1
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586476800000,2020-04-10,21,994212,7,315,2,3,1,0,0,3
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586563200000,2020-04-11,22,994212,30,338,2,3,3,0,0,3
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586649600000,2020-04-12,23,994212,145,396,1,4,4,0,0,4
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586736000000,2020-04-13,24,994212,191,299,2,4,4,0,0,4
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586822400000,2020-04-14,25,994212,196,362,2,4,4,0,0,4
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586908800000,2020-04-15,26,994212,220,367,2,4,4,0,0,4
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1586995200000,2020-04-16,27,994212,236,352,3,4,4,0,0,4
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1587081600000,2020-04-17,28,994212,243,331,4,4,4,0,1,5
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1587168000000,2020-04-18,29,994212,243,327,4,4,4,0,1,5
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1587254400000,2020-04-19,30,994212,247,325,4,4,4,0,1,5
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1585267200000,2020-03-27,7,1617814,0,112,1,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1585353600000,2020-03-28,8,1617814,0,154,1,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1584662400000,2020-03-20,0,1252020,0,0,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1584748800000,2020-03-21,1,1252020,0,0,0,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585440000000,2020-03-29,9,1163789,0,223,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585526400000,2020-03-30,10,1163789,6,251,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585612800000,2020-03-31,11,1163789,6,242,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585699200000,2020-04-01,12,1163789,11,265,1,0,0,0,1,1
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1584835200000,2020-03-22,2,1252020,0,0,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1584921600000,2020-03-23,3,1252020,0,26,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585008000000,2020-03-24,4,1252020,0,29,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585094400000,2020-03-25,5,1252020,0,33,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585180800000,2020-03-26,6,1252020,0,37,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585267200000,2020-03-27,7,1252020,0,40,1,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585785600000,2020-04-02,13,1163789,16,268,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585872000000,2020-04-03,14,1163789,16,289,1,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1585958400000,2020-04-04,15,1163789,16,283,0,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586044800000,2020-04-05,16,1163789,16,258,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586131200000,2020-04-06,17,1163789,16,255,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586217600000,2020-04-07,18,1163789,48,266,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586304000000,2020-04-08,19,1163789,16,261,2,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586390400000,2020-04-09,20,1163789,16,242,1,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586476800000,2020-04-10,21,1163789,16,208,0,0,0,0,1,1
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1586563200000,2020-04-11,22,1163789,16,184,1,0,0,0,1,1
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585353600000,2020-03-28,8,1252020,0,46,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585440000000,2020-03-29,9,1252020,0,50,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1585526400000,2020-03-30,10,1252020,15,44,0,0,0,0,0,0
